title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Expend4bles,"$16,710,153","$37,917,985",Lions Gate Films,"$8,039,021",3518,N/A,R,"Action,Adventure,Thriller,War",104
Champions,"$16,397,335","$19,156,273",Focus Features,"$5,148,740",3030,N/A,PG-13,"Comedy,Drama,Sport",300
Ruby Gillman: Teenage Kraken,"$15,753,600","$45,521,431",DreamWorks,"$5,500,990",3400,N/A,PG,"Action,Adventure,Animation,Comedy,Family,Fantasy",188
The Covenant,"$16,938,039","$21,632,392",Metro-Goldwyn-Mayer (MGM),"$6,380,188",2611,N/A,R,"Action,Drama,Thriller,War",258
The Blind,"$17,265,487","$17,265,487",Fathom Events,"$4,341,725",1715,N/A,PG-13,Drama,98
Book Club: The Next Chapter,"$17,581,565","$29,013,473",Focus Features,"$6,677,580",3508,N/A,PG-13,Comedy,237
The Blackening,"$17,707,207","$18,169,453",Lions Gate Films,"$6,013,131",1775,N/A,R,"Comedy,Horror,Thriller",202
Pathaan,"$17,487,476","$128,780,000",Yash Raj Films USA Inc.,"$6,892,182",695,N/A,N/A,"Action,Adventure,Thriller",344
The Holdovers,"$18,291,985","$19,802,871",Focus Features,"$211,093",6,N/A,R,"Comedy,Drama",69
The Boys in the Boat,"$25,778,289","$25,778,289",Amazon/MGM,"$8,400,548",2557,N/A,PG-13,"Biography,Drama,Sport",10
Black Panther: Wakanda Forever,"$453,829,060","$859,208,836",Walt Disney Studios Motion Pictures,"$181,339,761",4396,N/A,PG-13,"Action,Adventure,Drama,Sci-Fi",419
"Are You There God? It's Me, Margaret.","$20,372,406","$21,464,043",Lions Gate Films,"$6,739,037",3343,N/A,PG-13,"Comedy,Drama,Family",251
Priscilla,"$20,864,910","$21,312,935",A24,"$132,139",4,N/A,R,"Biography,Drama,Music,Romance",69
The Pope's Exorcist,"$20,009,380","$76,987,621",Screen Gems,"$9,006,368",3178,N/A,R,"Horror,Thriller",265
Strays,"$23,988,885","$36,024,487",Universal Pictures,"$8,247,810",3223,N/A,R,"Adventure,Comedy",139
Anyone But You,"$30,071,658","$35,871,658",Columbia Pictures,"$6,000,344",3055,N/A,R,"Comedy,Romance",13
Magic Mike's Last Dance,"$26,005,156","$57,105,156",Warner Bros.,"$8,305,317",1496,N/A,R,"Comedy,Drama",328
Thanksgiving,"$31,806,306","$44,129,504",TriStar Pictures,"$10,306,272",3204,N/A,R,"Horror,Mystery,Thriller",48
My Big Fat Greek Wedding 3,"$28,496,030","$38,822,331",Focus Features,"$10,028,675",3650,N/A,PG-13,"Comedy,Drama,Romance",118
65,"$32,062,904","$60,730,568",Sony Pictures Entertainment (SPE),"$12,328,361",3405,N/A,PG-13,"Action,Adventure,Drama,Sci-Fi,Thriller",300
Plane,"$32,111,181","$74,515,586",Lions Gate Films,"$10,265,326",3023,N/A,R,"Action,Adventure,Thriller",356
Asteroid City,"$28,153,025","$53,849,809",Focus Features,"$853,382",6,N/A,PG-13,"Comedy,Drama,Romance,Sci-Fi",202
Renaissance: A Film by Beyoncé,"$33,345,324","$43,445,324",AMC Theaters,"$21,801,216",2539,N/A,N/A,"Documentary,Music",34
Knock at the Cabin,"$35,397,980","$54,760,947",Universal Pictures,"$14,127,170",3643,N/A,R,"Horror,Mystery,Thriller",335
The Boy and the Heron,"$37,065,650","$134,156,853",GKIDS,"$13,011,722",2205,N/A,PG-13,"Adventure,Animation,Drama,Family,Fantasy",27
80 for Brady,"$39,330,588","$40,362,938",Paramount Pictures,"$12,701,640",3912,N/A,PG-13,"Biography,Comedy,Drama,Sport",335
Missing,"$32,502,025","$48,767,848",Sony Pictures Entertainment (SPE),"$9,154,695",3025,N/A,PG-13,"Drama,Mystery,Thriller",349
The Creator,"$40,774,679","$104,272,136",Walt Disney Studios Motion Pictures,"$14,079,512",3680,N/A,PG-13,"Action,Adventure,Drama,Sci-Fi,Thriller",97
A Haunting in Venice,"$42,471,412","$122,290,456",Walt Disney Studios Motion Pictures,"$14,279,529",3305,N/A,PG-13,"Crime,Drama,Horror,Mystery,Thriller",111
The Boogeyman,"$43,244,282","$67,307,243",Walt Disney Studios Motion Pictures,"$12,356,486",3205,N/A,PG-13,"Horror,Mystery,Thriller",216
The Color Purple,"$48,124,897","$48,124,897",Warner Bros.,"$11,737,072",3203,N/A,PG-13,"Drama,Musical",10
Godzilla Minus One,"$46,727,955","$85,623,183",Toho International,"$11,419,975",2308,N/A,PG-13,"Action,Adventure,Drama,Horror,Sci-Fi",34
Gran Turismo,"$44,428,554","$121,927,878",Sony Pictures Entertainment (SPE),"$17,410,552",3856,N/A,PG-13,"Action,Adventure,Drama,Sport",132
Jesus Revolution,"$52,102,987","$54,295,801",Lions Gate Films,"$15,882,067",2475,N/A,PG-13,Drama,314
No Hard Feelings,"$50,452,282","$87,256,407",Sony Pictures Entertainment (SPE),"$15,002,770",3208,N/A,R,"Comedy,Romance",195
Air,"$52,460,106","$90,060,106",Amazon/MGM,"$14,456,279",3507,N/A,R,"Drama,Sport",274
Talk to Me,"$48,299,436","$92,039,206",A24,"$10,431,720",2340,N/A,R,"Horror,Thriller",160
Migration,"$62,961,070","$117,271,638",Universal Pictures,"$12,453,275",3761,N/A,PG,"Action,Adventure,Animation,Comedy,Family,Fantasy",13
Saw X,"$53,607,898","$111,145,503",Lions Gate Films,"$18,309,301",3262,N/A,R,"Horror,Mystery,Thriller",97
Shazam! Fury of the Gods,"$57,638,006","$133,838,006",Warner Bros.,"$30,111,158",4071,N/A,PG-13,"Action,Adventure,Comedy,Fantasy",293
Napoleon,"$60,763,185","$206,963,185",Columbia Pictures,"$20,638,887",3500,N/A,R,"Action,Adventure,Biography,Drama,History,War",43
Wish,"$61,353,417","$180,417,518",Walt Disney Studios Motion Pictures,"$19,698,228",3900,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical",43
Cocaine Bear,"$64,670,240","$88,314,672",Universal Pictures,"$23,260,790",3534,N/A,R,"Comedy,Thriller",314
A Man Called Otto,"$64,267,657","$113,190,218",Columbia Pictures,"$56,257",4,N/A,PG-13,"Comedy,Drama",370
Evil Dead Rise,"$67,233,054","$146,733,054",Warner Bros.,"$24,504,315",3402,N/A,R,Horror,258
PAW Patrol: The Mighty Movie,"$65,231,360","$200,731,360",Paramount Pictures,"$22,764,354",3989,N/A,PG,"Action,Adventure,Animation,Comedy,Drama,Family,Fantasy,Sci-Fi",97
The Exorcist: Believer,"$65,537,395","$136,189,107",Universal Pictures,"$26,497,600",3663,N/A,R,Horror,90
Killers of the Flower Moon,"$67,306,653","$156,306,653",Paramount Pictures,"$23,253,655",3628,N/A,R,"Crime,Drama,History,Mystery,Romance,Western",76
Aquaman and the Lost Kingdom,"$85,275,070","$258,875,070",Warner Bros.,"$27,686,211",3706,N/A,PG-13,"Action,Adventure,Fantasy,Sci-Fi",13
Haunted Mansion,"$67,653,287","$117,449,790",Walt Disney Studios Motion Pictures,"$24,082,475",3740,N/A,PG-13,"Comedy,Drama,Family,Fantasy,Horror,Mystery",160
Blue Beetle,"$72,488,072","$129,288,072",Warner Bros.,"$25,030,225",3871,N/A,PG-13,"Action,Adventure,Sci-Fi,Thriller",139
The Marvels,"$84,492,477","$205,866,078",Walt Disney Studios Motion Pictures,"$46,110,859",4030,N/A,PG-13,"Action,Adventure,Fantasy",55
Meg 2: The Trench,"$82,600,317","$395,000,317",Warner Bros.,"$30,002,735",3503,N/A,PG-13,"Action,Adventure,Horror,Sci-Fi,Thriller",153
Insidious: The Red Door,"$82,156,962","$189,086,877",Screen Gems,"$33,013,036",3188,N/A,PG-13,"Horror,Mystery,Thriller",181
The Nun II,"$86,267,073","$268,067,073",Warner Bros.,"$32,603,336",3728,N/A,R,"Horror,Mystery,Thriller",118
Dungeons & Dragons: Honor Among Thieves,"$93,277,026","$208,177,026",Paramount Pictures,"$37,205,784",3855,N/A,PG-13,"Action,Adventure,Comedy,Fantasy",279
The Equalizer 3,"$92,373,751","$190,991,067",Columbia Pictures,"$34,604,229",3965,N/A,R,"Action,Crime,Thriller",125
M3GAN,"$95,159,005","$180,089,109",Universal Pictures,"$30,429,860",3509,N/A,PG-13,"Horror,Sci-Fi,Thriller",363
Trolls Band Together,"$98,579,825","$199,111,825",Universal Pictures,"$30,002,525",3870,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Music",48
The Flash,"$108,133,313","$270,633,313",Warner Bros.,"$55,043,679",4234,N/A,PG-13,"Action,Adventure,Fantasy,Sci-Fi",202
Scream VI,"$108,161,389","$168,961,389",Paramount Pictures,"$44,447,270",3675,N/A,R,"Horror,Mystery,Thriller",300
Wonka,"$144,368,534","$388,768,534",Warner Bros.,"$39,005,800",4203,N/A,PG,"Adventure,Comedy,Family,Fantasy,Musical",20
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$118,613,586","$180,513,586",Paramount Pictures,"$28,007,544",3858,N/A,PG,"Action,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",155
Five Nights at Freddy's,"$137,275,620","$289,361,620",Universal Pictures International (UPI),"$80,001,720",3675,N/A,PG-13,"Horror,Mystery,Thriller",69
Puss in Boots: The Last Wish,"$186,090,535","$481,681,839",Universal Pictures,"$12,429,515",4099,N/A,PG,"Adventure,Animation,Comedy,Family",379
Fast X,"$146,126,015","$704,875,015",Universal Pictures,"$67,017,410",4046,N/A,PG-13,"Action,Adventure,Crime,Mystery,Thriller",230
Creed III,"$156,248,615","$275,248,615",United Artists Releasing,"$58,370,007",4007,N/A,PG-13,"Drama,Sport",307
Elemental,"$154,426,697","$496,326,278",Walt Disney Studios Motion Pictures,"$29,602,429",4035,N/A,PG,"Adventure,Animation,Comedy,Drama,Family,Fantasy,Romance",202
Transformers: Rise of the Beasts,"$157,066,392","$438,966,392",Paramount Pictures,"$61,045,464",3678,N/A,PG-13,"Action,Adventure,Sci-Fi",209
The Hunger Games: The Ballad of Songbirds & Snakes,"$161,163,157","$323,163,157",Lions Gate Films,"$44,607,143",3776,N/A,PG-13,"Action,Adventure,Drama,Sci-Fi,Thriller,War",48
Mission: Impossible - Dead Reckoning Part One,"$172,135,383","$567,535,383",Paramount Pictures,"$54,688,347",4327,"$291,000,000",PG-13,"Action,Adventure,Thriller",176
Taylor Swift: The Eras Tour,"$179,650,565","$250,340,701",AMC Theaters,"$92,804,678",3855,N/A,PG-13,"Documentary,Music",83
Indiana Jones and the Dial of Destiny,"$174,480,468","$383,963,057",Walt Disney Studios Motion Pictures,"$60,368,101",4600,N/A,PG-13,"Action,Adventure,Sci-Fi",188
John Wick: Chapter 4,"$187,131,806","$440,146,694",Lions Gate Films,"$73,817,950",3855,N/A,R,"Action,Crime,Thriller",286
Sound of Freedom,"$184,178,046","$248,219,375",Angel Studios,"$19,680,879",2852,N/A,PG-13,"Biography,Crime,Drama,History,Thriller",184
The Little Mermaid,"$298,172,056","$569,626,289",Walt Disney Studios Motion Pictures,"$95,578,040",4320,N/A,PG,"Adventure,Family,Fantasy,Musical,Romance",223
Ant-Man and the Wasp: Quantumania,"$214,504,909","$476,071,180",Walt Disney Studios Motion Pictures,"$106,109,650",4345,N/A,PG-13,"Action,Adventure,Comedy,Sci-Fi",321
Avatar: The Way of Water,"$684,075,767","$2,320,250,281",20th Century Studios,"$134,100,226",4202,N/A,PG-13,"Action,Adventure,Fantasy,Sci-Fi",384
Spider-Man: Across the Spider-Verse,"$381,311,319","$690,516,673",Columbia Pictures,"$120,663,589",4313,N/A,PG,"Action,Adventure,Animation,Family,Fantasy,Sci-Fi",216
Oppenheimer,"$326,103,070","$952,037,070",Universal Pictures,"$82,455,420",3610,N/A,R,"Biography,Drama,History",167
Guardians of the Galaxy Vol. 3,"$358,995,815","$845,555,777",Walt Disney Studios Motion Pictures,"$118,414,021",4450,N/A,PG-13,"Action,Adventure,Comedy,Sci-Fi",244
The Zone of Interest,"$509,235","$509,235",A24,"$129,934",4,N/A,PG-13,"Drama,History,War",20
Saltburn,"$11,293,793","$20,151,112",Warner Bros.,"$322,651",7,N/A,R,"Comedy,Drama,Thriller",48
All of Us Strangers,"$402,803","$402,803",Searchlight Pictures,"$117,965",4,N/A,R,"Drama,Fantasy,Romance",13
Barbie,"$636,227,208","$1,441,827,208",Warner Bros.,"$162,022,044",4243,N/A,PG-13,"Adventure,Comedy,Fantasy",167
The Super Mario Bros. Movie,"$574,934,330","$1,361,939,570",Universal Pictures,"$146,361,865",4343,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy",274
Renaissance: A Film by Beyoncé,"$33,345,324","$43,445,324",AMC Theaters,"$21,801,216",2539,N/A,N/A,"Documentary,Music",34
The Shift,"$11,989,414","$12,010,322",Angel Studios,"$4,300,165",2450,N/A,PG-13,Sci-Fi,34
The Holdovers,"$18,291,985","$19,802,871",Focus Features,"$211,093",6,N/A,R,"Comedy,Drama",69
American Fiction,"$1,843,763","$1,843,763",Metro-Goldwyn-Mayer (MGM),"$224,469",7,N/A,R,"Comedy,Drama",20
Dunki,"$7,460,159","$13,251,522",Yash Raj Films USA Inc.,"$2,714,469",551,N/A,N/A,"Comedy,Drama",14
Napoleon,"$60,763,185","$206,963,185",Columbia Pictures,"$20,638,887",3500,N/A,R,"Action,Adventure,Biography,Drama,History,War",43
Godzilla Minus One,"$46,727,955","$85,623,183",Toho International,"$11,419,975",2308,N/A,PG-13,"Action,Adventure,Drama,Horror,Sci-Fi",34
Wish,"$61,353,417","$180,417,518",Walt Disney Studios Motion Pictures,"$19,698,228",3900,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical",43
The Boy and the Heron,"$37,065,650","$134,156,853",GKIDS,"$13,011,722",2205,N/A,PG-13,"Adventure,Animation,Drama,Family,Fantasy",27
Poor Things,"$11,434,420","$12,419,780",Searchlight Pictures,"$661,230",9,N/A,R,"Comedy,Drama,Romance,Sci-Fi",27
Trolls Band Together,"$98,579,825","$199,111,825",Universal Pictures,"$30,002,525",3870,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Music",48
The Iron Claw,"$18,221,133","$18,221,133",A24,"$4,868,370",2774,N/A,R,"Biography,Drama,Sport",13
Ferrari,"$12,489,827","$19,481,422",Neon,"$3,921,773",2386,N/A,R,"Biography,Drama,History",10
The Hunger Games: The Ballad of Songbirds & Snakes,"$161,163,157","$323,163,157",Lions Gate Films,"$44,607,143",3776,N/A,PG-13,"Action,Adventure,Drama,Sci-Fi,Thriller,War",48
The Boys in the Boat,"$25,778,289","$25,778,289",Amazon/MGM,"$8,400,548",2557,N/A,PG-13,"Biography,Drama,Sport",10
Anyone But You,"$30,071,658","$35,871,658",Columbia Pictures,"$6,000,344",3055,N/A,R,"Comedy,Romance",13
The Color Purple,"$48,124,897","$48,124,897",Warner Bros.,"$11,737,072",3203,N/A,PG-13,"Drama,Musical",10
Aquaman and the Lost Kingdom,"$85,275,070","$258,875,070",Warner Bros.,"$27,686,211",3706,N/A,PG-13,"Action,Adventure,Fantasy,Sci-Fi",13
Migration,"$62,961,070","$117,271,638",Universal Pictures,"$12,453,275",3761,N/A,PG,"Action,Adventure,Animation,Comedy,Family,Fantasy",13
